dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,4,v1_lda,max-prob,0.3020833333333333,0.3,0.356781378138002,0.5977011494252873,0.40229885057471265,87
BCI_IV_2a,4,v1_lda,max-prob,0.3506944444444444,0.35,0.3543405914699245,0.6138613861386139,0.38613861386138615,101
BCI_IV_2a,4,v1_lda,max-prob,0.4027777777777778,0.4,0.3514718842877798,0.6293103448275862,0.3706896551724138,116
BCI_IV_2a,4,v1_lda,max-prob,0.4513888888888889,0.45,0.34985229007247226,0.6307692307692307,0.36923076923076925,130
BCI_IV_2a,4,v1_lda,max-prob,0.5,0.5,0.3479086973807401,0.6527777777777778,0.3472222222222222,144
BCI_IV_2a,4,v1_lda,max-prob,0.5520833333333334,0.55,0.34567665494140454,0.679245283018868,0.32075471698113206,159
BCI_IV_2a,4,v1_lda,max-prob,0.6006944444444444,0.6,0.3431588691591489,0.676300578034682,0.3236994219653179,173
BCI_IV_2a,4,v1_lda,max-prob,0.6527777777777778,0.65,0.34172254272885527,0.6861702127659575,0.31382978723404253,188
BCI_IV_2a,4,v1_lda,max-prob,0.7013888888888888,0.7,0.3406132608838707,0.698019801980198,0.30198019801980197,202
BCI_IV_2a,4,v1_lda,max-prob,0.75,0.75,0.3396974513301032,0.7083333333333333,0.2916666666666667,216
BCI_IV_2a,4,v1_lda,max-prob,0.8020833333333334,0.8,0.33802933939795804,0.7142857142857143,0.2857142857142857,231
BCI_IV_2a,4,v1_lda,max-prob,0.8506944444444444,0.85,0.3366935734232593,0.726530612244898,0.27346938775510204,245
BCI_IV_2a,4,v1_lda,max-prob,0.9027777777777778,0.9,0.335684083720791,0.7307692307692308,0.2692307692307692,260
BCI_IV_2a,4,v1_lda,max-prob,0.9513888888888888,0.95,0.3343431266047769,0.7408759124087592,0.2591240875912409,274
BCI_IV_2a,4,v1_lda,max-prob,1.0,1.0,0.3323567369927771,0.75,0.25,288
BCI_IV_2a,5,v1_lda,max-prob,0.052083333333333336,0.05,0.4624780289621474,0.7333333333333334,0.26666666666666666,15
BCI_IV_2a,5,v1_lda,max-prob,0.10069444444444445,0.1,0.45630086368961337,0.6896551724137931,0.3103448275862069,29
BCI_IV_2a,5,v1_lda,max-prob,0.1527777777777778,0.15,0.45188104202651913,0.6818181818181819,0.3181818181818182,44
BCI_IV_2a,5,v1_lda,max-prob,0.2013888888888889,0.2,0.448074229927431,0.6206896551724138,0.3793103448275862,58
BCI_IV_2a,5,v1_lda,max-prob,0.25,0.25,0.44590279993005133,0.6527777777777778,0.3472222222222222,72
BCI_IV_2a,5,v1_lda,max-prob,0.3020833333333333,0.3,0.4434616700187351,0.6436781609195402,0.3563218390804598,87
BCI_IV_2a,5,v1_lda,max-prob,0.3506944444444444,0.35,0.44157369505932975,0.6435643564356436,0.3564356435643564,101
BCI_IV_2a,5,v1_lda,max-prob,0.4027777777777778,0.4,0.4395669877192443,0.6551724137931034,0.3448275862068966,116
BCI_IV_2a,5,v1_lda,max-prob,0.4513888888888889,0.45,0.4372215764874445,0.6692307692307693,0.33076923076923076,130
BCI_IV_2a,5,v1_lda,max-prob,0.5,0.5,0.4357878994409046,0.7013888888888888,0.2986111111111111,144
BCI_IV_2a,5,v1_lda,max-prob,0.5520833333333334,0.55,0.4337375142320814,0.7044025157232705,0.29559748427672955,159
BCI_IV_2a,5,v1_lda,max-prob,0.6006944444444444,0.6,0.43259536811417504,0.6936416184971098,0.3063583815028902,173
BCI_IV_2a,5,v1_lda,max-prob,0.6527777777777778,0.65,0.43082803229063177,0.6968085106382979,0.30319148936170215,188
BCI_IV_2a,5,v1_lda,max-prob,0.7013888888888888,0.7,0.42943296191602176,0.7029702970297029,0.297029702970297,202
BCI_IV_2a,5,v1_lda,max-prob,0.75,0.75,0.4282466394481429,0.6944444444444444,0.3055555555555556,216
BCI_IV_2a,5,v1_lda,max-prob,0.8020833333333334,0.8,0.4260133457246174,0.7056277056277056,0.2943722943722944,231
BCI_IV_2a,5,v1_lda,max-prob,0.8506944444444444,0.85,0.4240349367570368,0.7020408163265306,0.2979591836734694,245
BCI_IV_2a,5,v1_lda,max-prob,0.9027777777777778,0.9,0.4210884960689755,0.6961538461538461,0.3038461538461538,260
