dataset,subject,decoder,threshold,coverage,risk,accuracy,n_covered
BCI_IV_2a,4,LDA,1.0,0.0,,,0
BCI_IV_2a,5,LDA,0.0,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.05,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.1,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.15,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.2,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.25,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.3,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.35,1.0,0.6944444444444444,0.3055555555555556,288
BCI_IV_2a,5,LDA,0.4,0.9965277777777778,0.6933797909407665,0.30662020905923343,287
BCI_IV_2a,5,LDA,0.45,0.16666666666666666,0.625,0.375,48
BCI_IV_2a,5,LDA,0.5,0.0,,,0
BCI_IV_2a,5,LDA,0.55,0.0,,,0
BCI_IV_2a,5,LDA,0.6,0.0,,,0
BCI_IV_2a,5,LDA,0.65,0.0,,,0
BCI_IV_2a,5,LDA,0.7,0.0,,,0
BCI_IV_2a,5,LDA,0.75,0.0,,,0
BCI_IV_2a,5,LDA,0.8,0.0,,,0
BCI_IV_2a,5,LDA,0.85,0.0,,,0
BCI_IV_2a,5,LDA,0.9,0.0,,,0
BCI_IV_2a,5,LDA,0.95,0.0,,,0
BCI_IV_2a,5,LDA,1.0,0.0,,,0
BCI_IV_2a,6,LDA,0.0,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.05,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.1,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.15,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.2,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.25,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.3,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.35,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.4,1.0,0.75,0.25,288
BCI_IV_2a,6,LDA,0.45,0.9965277777777778,0.7491289198606271,0.2508710801393728,287
BCI_IV_2a,6,LDA,0.5,0.8819444444444444,0.7204724409448819,0.2795275590551181,254
BCI_IV_2a,6,LDA,0.55,0.4131944444444444,0.6470588235294118,0.35294117647058826,119
BCI_IV_2a,6,LDA,0.6,0.05555555555555555,0.625,0.375,16
BCI_IV_2a,6,LDA,0.65,0.0,,,0
BCI_IV_2a,6,LDA,0.7,0.0,,,0
BCI_IV_2a,6,LDA,0.75,0.0,,,0
BCI_IV_2a,6,LDA,0.8,0.0,,,0
BCI_IV_2a,6,LDA,0.85,0.0,,,0
BCI_IV_2a,6,LDA,0.9,0.0,,,0
BCI_IV_2a,6,LDA,0.95,0.0,,,0
BCI_IV_2a,6,LDA,1.0,0.0,,,0
BCI_IV_2a,7,LDA,0.0,1.0,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,7,LDA,0.05,1.0,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,7,LDA,0.1,1.0,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,7,LDA,0.15,1.0,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,7,LDA,0.2,1.0,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,7,LDA,0.25,1.0,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,7,LDA,0.3,1.0,0.6284722222222222,0.3715277777777778,288
BCI_IV_2a,7,LDA,0.35,0.9479166666666666,0.6117216117216118,0.3882783882783883,273
BCI_IV_2a,7,LDA,0.4,0.4722222222222222,0.41911764705882354,0.5808823529411765,136
BCI_IV_2a,7,LDA,0.45,0.24305555555555555,0.24285714285714285,0.7571428571428571,70
