run,dataset,subject,model,uncertainty_score,target_coverage,coverage,score_cutoff,selective_accuracy,selective_risk
moabb_smoke_3datasets_lda,BCI_IV_2a,9,v1_lda,max-prob,0.4,0.4015151515151515,0.3766893329846871,0.4528301886792453,0.5471698113207547
moabb_smoke_3datasets_lda,BCI_IV_2a,9,v1_lda,max-prob,0.6,0.6022727272727273,0.3560445501612575,0.4528301886792453,0.5471698113207547
moabb_smoke_3datasets_lda,BCI_IV_2a,9,v1_lda,max-prob,0.8,0.803030303030303,0.3357135227594,0.419811320754717,0.5801886792452831
moabb_smoke_3datasets_lda,Cho2017,1,v1_lda,max-prob,0.4,0.4,0.6064652839701934,0.6785714285714286,0.3214285714285714
moabb_smoke_3datasets_lda,Cho2017,1,v1_lda,max-prob,0.6,0.6,0.5635097257943762,0.6428571428571429,0.3571428571428571
moabb_smoke_3datasets_lda,Cho2017,1,v1_lda,max-prob,0.8,0.8,0.5377569745777474,0.5892857142857143,0.4107142857142857
moabb_smoke_3datasets_lda,PhysionetMI,1,v1_lda,max-prob,0.4,0.4,0.6251843350266102,0.6666666666666666,0.3333333333333333
moabb_smoke_3datasets_lda,PhysionetMI,1,v1_lda,max-prob,0.6,0.6,0.5933175796169595,0.7777777777777778,0.2222222222222222
moabb_smoke_3datasets_lda,PhysionetMI,1,v1_lda,max-prob,0.8,0.8,0.5536685800196895,0.75,0.25
moabb_smoke_3datasets_lda,BNCI2014_001,1,v1_lda,max-prob,0.4,0.4027777777777778,0.6180379701058498,0.913793103448276,0.086206896551724
moabb_smoke_3datasets_lda,BNCI2014_001,1,v1_lda,max-prob,0.6,0.6041666666666666,0.5798175212648969,0.8505747126436781,0.1494252873563218
moabb_smoke_3datasets_lda,BNCI2014_001,1,v1_lda,max-prob,0.8,0.8055555555555556,0.537212424620745,0.8275862068965517,0.1724137931034483
smoke_iiia_lda,BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.6115054851370199,0.8620689655172413,0.1379310344827586
smoke_iiia_lda,BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926359441823,0.8439306358381503,0.1560693641618497
smoke_iiia_lda,BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013800394881,0.8008658008658008,0.1991341991341991
smoke_iiia_lda,BCI_IIIa,k3b,v1_lda,max-prob,0.4,0.4126984126984127,0.6509875393019273,1.0,0.0
smoke_iiia_lda,BCI_IIIa,k3b,v1_lda,max-prob,0.6,0.6031746031746031,0.6106219100108954,1.0,0.0
smoke_iiia_lda,BCI_IIIa,k3b,v1_lda,max-prob,0.8,0.8095238095238095,0.5093801207077833,0.9411764705882352,0.0588235294117647
smoke_iiia_lda,BCI_IIIa,k6b,v1_lda,max-prob,0.4,0.4047619047619047,0.4617440548222507,0.6470588235294118,0.3529411764705882
smoke_iiia_lda,BCI_IIIa,k6b,v1_lda,max-prob,0.6,0.6190476190476191,0.41002454760375,0.6153846153846154,0.3846153846153846
smoke_iiia_lda,BCI_IIIa,k6b,v1_lda,max-prob,0.8,0.8095238095238095,0.3725838100365427,0.6470588235294118,0.3529411764705882
smoke_iiia_lda,BCI_IIIa,l1b,v1_lda,max-prob,0.4,0.4047619047619047,0.3963067560896583,0.7058823529411765,0.2941176470588235
smoke_iiia_lda,BCI_IIIa,l1b,v1_lda,max-prob,0.6,0.6190476190476191,0.3748726229568215,0.6923076923076923,0.3076923076923077
smoke_iiia_lda,BCI_IIIa,l1b,v1_lda,max-prob,0.8,0.8095238095238095,0.3299342319808034,0.5882352941176471,0.4117647058823529
moabb_5subj_3datasets_lda,BCI_IV_2a,1,v1_lda,max-prob,0.4,0.4027777777777778,0.6115054851370199,0.8620689655172413,0.1379310344827586
moabb_5subj_3datasets_lda,BCI_IV_2a,1,v1_lda,max-prob,0.6,0.6006944444444444,0.5210926359441823,0.8439306358381503,0.1560693641618497
moabb_5subj_3datasets_lda,BCI_IV_2a,1,v1_lda,max-prob,0.8,0.8020833333333334,0.4632013800394881,0.8008658008658008,0.1991341991341991
moabb_5subj_3datasets_lda,BCI_IV_2a,2,v1_lda,max-prob,0.4,0.4027777777777778,0.5563305953738215,0.4741379310344827,0.5258620689655172
moabb_5subj_3datasets_lda,BCI_IV_2a,2,v1_lda,max-prob,0.6,0.6006944444444444,0.5384421341504679,0.3468208092485549,0.653179190751445
moabb_5subj_3datasets_lda,BCI_IV_2a,2,v1_lda,max-prob,0.8,0.8020833333333334,0.5136545545131977,0.3073593073593073,0.6926406926406927
moabb_5subj_3datasets_lda,BCI_IV_2a,3,v1_lda,max-prob,0.4,0.4027777777777778,0.6537994288376746,0.9482758620689656,0.0517241379310344
moabb_5subj_3datasets_lda,BCI_IV_2a,3,v1_lda,max-prob,0.6,0.6006944444444444,0.561546792123562,0.8901734104046243,0.1098265895953757
