run,dataset,subject,split,model,use_ea,calibrated,uncertainty_score,coverage_target,score_cutoff,n_trials,accuracy_all,macro_f1,brier,ece,selective_accuracy,selective_risk,coverage_observed
moabb_5subj_3datasets_lda,PhysionetMI,1,held_out_run,v1_lda,True,True,max-prob,0.6,0.5933175796169595,15,0.7333333333333333,0.7321428571428572,0.4465126379601383,0.1352936173737398,0.7777777777777778,0.2222222222222222,0.6
moabb_5subj_3datasets_lda,PhysionetMI,2,held_out_run,v1_lda,True,True,max-prob,0.6,0.6026902795469296,15,0.8,0.7963800904977376,0.3464841824182565,0.1453926458355562,0.7777777777777778,0.2222222222222222,0.6
moabb_5subj_3datasets_lda,PhysionetMI,3,held_out_run,v1_lda,True,True,max-prob,0.6,0.5446603849688044,15,0.4,0.2857142857142857,0.5065718605109544,0.1406540476785038,0.4444444444444444,0.5555555555555556,0.6
moabb_5subj_3datasets_lda,PhysionetMI,4,held_out_run,v1_lda,True,True,max-prob,0.6,0.6445450518368433,15,0.5333333333333333,0.3478260869565217,0.4387215497426056,0.3268358601544809,0.7777777777777778,0.2222222222222222,0.6
moabb_5subj_3datasets_lda,PhysionetMI,5,held_out_run,v1_lda,True,True,max-prob,0.6,0.583989340367918,15,0.3333333333333333,0.3303571428571428,0.6111189911738939,0.2671296481196424,0.2222222222222222,0.7777777777777778,0.6
moabb_5subj_3datasets_lda,BNCI2014_001,1,held_out_session,v1_lda,True,True,max-prob,0.6,0.5798175212648969,144,0.7777777777777778,0.777391304347826,0.3797194968566885,0.1646933440887492,0.8505747126436781,0.1494252873563218,0.6041666666666666
moabb_5subj_3datasets_lda,BNCI2014_001,2,held_out_session,v1_lda,True,True,max-prob,0.6,0.5292571157623863,144,0.4722222222222222,0.4718146718146718,0.5219794927398532,0.0686451649383562,0.4367816091954023,0.5632183908045977,0.6041666666666666
moabb_5subj_3datasets_lda,BNCI2014_001,3,held_out_session,v1_lda,True,True,max-prob,0.6,0.5816943214466076,144,0.6944444444444444,0.6934984520123839,0.3957362926226778,0.0699738469228221,0.7931034482758621,0.2068965517241379,0.6041666666666666
moabb_5subj_3datasets_lda,BNCI2014_001,4,held_out_session,v1_lda,True,True,max-prob,0.6,0.5432607176044358,144,0.7013888888888888,0.7012592270950934,0.4349630876639153,0.1310616702896987,0.7816091954022989,0.2183908045977011,0.6041666666666666
moabb_5subj_3datasets_lda,BNCI2014_001,5,held_out_session,v1_lda,True,True,max-prob,0.6,0.5199938588146531,144,0.6041666666666666,0.6041475765613696,0.4905560599637936,0.0732339528522978,0.5977011494252874,0.4022988505747126,0.6041666666666666
