dataset,subject,model,uncertainty_score,coverage,target_coverage,score_cutoff,risk,accuracy,n_covered
BCI_IV_2a,8,v1_lda,max-prob,1.0,1.0,0.2761071846279777,0.38541666666666663,0.6145833333333334,288
BCI_IV_2a,9,v1_lda,max-prob,0.05303030303030303,0.05,0.4358141286993833,0.4285714285714286,0.5714285714285714,14
BCI_IV_2a,9,v1_lda,max-prob,0.10227272727272728,0.1,0.41578315487166106,0.4814814814814815,0.5185185185185185,27
BCI_IV_2a,9,v1_lda,max-prob,0.15151515151515152,0.15,0.4067521458648348,0.375,0.625,40
BCI_IV_2a,9,v1_lda,max-prob,0.20075757575757575,0.2,0.3989624431156041,0.4528301886792453,0.5471698113207547,53
BCI_IV_2a,9,v1_lda,max-prob,0.25,0.25,0.39177171418874407,0.4545454545454546,0.5454545454545454,66
BCI_IV_2a,9,v1_lda,max-prob,0.30303030303030304,0.3,0.3860234001471604,0.48750000000000004,0.5125,80
BCI_IV_2a,9,v1_lda,max-prob,0.3522727272727273,0.35,0.3825849623375026,0.5268817204301075,0.4731182795698925,93
BCI_IV_2a,9,v1_lda,max-prob,0.4015151515151515,0.4,0.37671644752546696,0.5471698113207547,0.4528301886792453,106
BCI_IV_2a,9,v1_lda,max-prob,0.45075757575757575,0.45,0.3700873200893051,0.5378151260504201,0.46218487394957986,119
BCI_IV_2a,9,v1_lda,max-prob,0.5,0.5,0.3648260240273263,0.5227272727272727,0.4772727272727273,132
BCI_IV_2a,9,v1_lda,max-prob,0.553030303030303,0.55,0.3598057917671907,0.5410958904109588,0.4589041095890411,146
BCI_IV_2a,9,v1_lda,max-prob,0.6022727272727273,0.6,0.35606610254981585,0.5471698113207547,0.4528301886792453,159
BCI_IV_2a,9,v1_lda,max-prob,0.6515151515151515,0.65,0.350077379133609,0.563953488372093,0.436046511627907,172
BCI_IV_2a,9,v1_lda,max-prob,0.7007575757575758,0.7,0.34491955329043505,0.5783783783783784,0.42162162162162165,185
BCI_IV_2a,9,v1_lda,max-prob,0.75,0.75,0.339806440776548,0.5808080808080809,0.41919191919191917,198
BCI_IV_2a,9,v1_lda,max-prob,0.803030303030303,0.8,0.3357471326901859,0.5801886792452831,0.419811320754717,212
BCI_IV_2a,9,v1_lda,max-prob,0.8522727272727273,0.85,0.3298700794560882,0.5955555555555556,0.40444444444444444,225
BCI_IV_2a,9,v1_lda,max-prob,0.9015151515151515,0.9,0.3248817142031654,0.6050420168067228,0.3949579831932773,238
BCI_IV_2a,9,v1_lda,max-prob,0.9507575757575758,0.95,0.3176048220029525,0.6095617529880478,0.3904382470119522,251
BCI_IV_2a,9,v1_lda,max-prob,1.0,1.0,0.3011786673612099,0.6174242424242424,0.38257575757575757,264
